User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Female,19,19000,0
15810944,Female,35,20000,0
15668575,Male,26,43000,0
15603246,Male,27,57000,0
15804002,Female,19,76000,0
15728773,Female,27,58000,0
15598044,Male,27,84000,0
15694829,Male,32,150000,1
15600575,Female,25,33000,0
15727311,Male,35,65000,0
15570769,Male,26,80000,0
15606274,Male,26,52000,0
15746139,Female,20,86000,0
15704987,Female,32,18000,0
15628972,Female,18,82000,0
15697686,Female,29,80000,0
15733883,Female,47,25000,1
15617482,Female,45,26000,1
15704583,Female,46,28000,1
15621083,Male,48,29000,1
15649487,Female,45,22000,1
15736760,Male,47,49000,1
15714658,Female,48,41000,1
15599081,Male,45,22000,1
15705113,Female,46,23000,1
15631159,Female,47,20000,1
15792818,Female,49,28000,1
15633531,Male,47,30000,1
15744529,Female,29,43000,0
15669656,Female,31,18000,0
15581198,Female,31,74000,0
15729054,Male,27,137000,1
15573452,Male,21,16000,0
15776733,Male,28,44000,0
15724858,Female,27,90000,0
15713144,Female,35,27000,0
15690188,Male,33,28000,0
15689425,Female,30,49000,0
15671766,Male,26,72000,0
15782806,Male,27,31000,0
15764419,Male,27,17000,0
15591915,Male,33,51000,0
15772798,Female,35,108000,0
15792008,Female,30,15000,0
15715541,Male,28,84000,0
15639277,Female,23,20000,0
15798850,Female,25,79000,0
15776348,Male,27,54000,0
15727696,Female,30,135000,1
15793813,Male,31,89000,0
15694395,Male,24,32000,0
15764195,Male,18,44000,0
15744919,Male,29,83000,0
15671655,Male,35,23000,0
15654901,Male,27,58000,0
15649136,Male,24,55000,0
15775562,Male,23,48000,0
15807481,Female,28,79000,0
15642885,Female,22,18000,0
15789109,Male,32,117000,0
15814004,Female,27,20000,0
15673619,Female,25,87000,0
15595135,Male,23,66000,0
15583681,Female,32,120000,1
15605000,Male,59,83000,0
15718071,Female,24,58000,0
15679760,Female,24,19000,0
15654574,Male,23,82000,0
15577178,Male,22,63000,0
15595324,Male,31,68000,0
15756932,Female,25,80000,0
15726358,Male,24,27000,0
15595228,Male,20,23000,0
15782530,Male,33,113000,0
15592877,Female,32,18000,0
15651983,Female,34,112000,1
15746737,Female,18,52000,0
15774179,Male,22,27000,0
15667265,Male,28,87000,0
15655123,Male,26,17000,0
15595917,Female,30,80000,0
15668385,Female,39,42000,0
15709476,Female,20,49000,0
15711218,Female,35,88000,0
15798659,Male,30,62000,0
15663939,Male,31,118000,1
15694946,Female,24,55000,0
15631912,Male,28,85000,0
15768816,Female,26,81000,0
15682268,Female,35,50000,0
15684801,Female,22,81000,0
15636428,Male,30,116000,0
15809823,Female,26,15000,0
15699284,Male,29,28000,0
15786993,Male,29,83000,0
15709441,Male,35,44000,0
15710257,Male,35,25000,0
15582492,Female,28,123000,1
15575694,Female,35,73000,0
15756820,Male,28,37000,0
15766289,Female,27,88000,0
15593014,Female,28,59000,0
15584545,Male,32,86000,0
15675949,Male,33,149000,1
15672091,Male,19,21000,0
15801658,Female,21,72000,0
15706185,Male,26,35000,0
15789863,Female,27,89000,0
15720943,Female,26,86000,0
15697997,Male,38,80000,0
15665416,Male,39,71000,0
15660200,Male,37,71000,0
15619653,Female,38,61000,0
15773447,Female,37,55000,0
15739160,Female,42,80000,0
15689237,Female,40,57000,0
15679297,Female,35,75000,0
15591433,Female,36,52000,0
15642725,Female,40,59000,0
15701962,Female,41,59000,0
15811613,Male,36,75000,0
15741049,Female,37,72000,0
15724423,Male,40,75000,0
15574305,Female,35,53000,0
15678168,Male,41,51000,0
15697020,Male,39,61000,0
15610801,Female,42,65000,0
15745232,Female,26,32000,0
15722758,Female,30,17000,0
15792102,Male,26,84000,0
15675185,Female,31,58000,0
15801247,Female,33,31000,0
15725660,Female,30,87000,0
15638963,Male,21,68000,0
15800061,Male,28,55000,0
15578006,Female,23,63000,0
15668504,Male,20,82000,0
15687491,Female,30,107000,1
15610403,Male,28,59000,0
15741094,Female,19,25000,0
15807909,Female,19,85000,0
15666141,Male,18,68000,0
15617134,Female,35,59000,0
15783029,Female,30,89000,0
15622833,Male,34,25000,0
15746422,Male,24,89000,0
15750839,Male,27,96000,1
15749130,Male,41,30000,0
15779862,Female,29,61000,0
15767871,Female,20,74000,0
15679651,Male,26,15000,0
15576219,Female,41,45000,0
15699247,Female,31,76000,0
15619087,Male,36,50000,0
15605327,Female,40,47000,0
15610140,Male,31,15000,0
15791174,Female,46,59000,0
15602373,Female,29,75000,0
15762605,Female,26,30000,0
15598840,Male,32,135000,1
15744279,Female,32,100000,1
15670619,Female,25,90000,0
15599533,Male,37,33000,0
15757837,Female,35,38000,0
15697574,Male,33,69000,0
15578738,Male,18,86000,0
15762228,Male,22,55000,0
15614827,Male,35,71000,0
15789815,Female,29,148000,1
15579781,Male,29,47000,0
15587013,Female,21,88000,0
15570932,Female,34,115000,0
15794661,Male,26,118000,0
15581654,Male,34,43000,0
15644296,Male,34,72000,0
15614420,Male,23,28000,0
15609653,Male,35,47000,0
15594577,Female,25,22000,0
15584114,Female,24,23000,0
15673367,Male,31,34000,0
15685576,Female,26,16000,0
15774727,Male,31,71000,0
15694288,Male,32,117000,1
15603319,Female,33,43000,0
15759066,Male,33,60000,0
15814816,Female,31,66000,0
15724402,Male,20,82000,0
15571059,Male,33,41000,0
15674206,Female,35,72000,0
15715160,Female,28,32000,0
15730448,Female,24,84000,0
15662067,Male,19,26000,0
15779581,Female,29,43000,0
15662901,Female,19,70000,0
15689751,Female,28,89000,0
15667742,Female,34,43000,0
15738448,Male,30,79000,0
15680243,Male,20,36000,0
15745083,Female,26,80000,0
15708228,Female,35,22000,0
15628523,Female,35,39000,0
15708196,Female,49,74000,0
15735549,Male,39,134000,1
15809347,Male,41,71000,0
15660866,Male,58,101000,1
15766609,Male,47,47000,0
15654230,Male,55,130000,1
15794566,Male,52,114000,0
15800890,Male,40,142000,1
15697424,Male,46,22000,0
15724536,Male,48,96000,1
15735878,Female,52,150000,1
15707596,Male,59,42000,0
15657163,Female,35,58000,0
15622478,Female,47,43000,0
15779529,Male,60,108000,1
15636023,Female,49,65000,0
15582066,Female,40,78000,0
15666675,Male,46,96000,0
15732987,Female,59,143000,1
15789432,Male,41,80000,0
15663161,Female,35,91000,1
15694879,Female,37,144000,1
15593715,Female,60,102000,1
15575002,Male,35,60000,0
15622171,Female,37,53000,0
15795224,Male,36,126000,1
15685346,Female,56,133000,1
15691808,Male,40,72000,0
15721007,Male,42,80000,1
15794253,Male,35,147000,1
15694453,Female,39,42000,0
15813113,Female,40,107000,1
15614187,Female,49,86000,1
15619407,Male,38,112000,0
15646227,Female,46,79000,1
15660541,Female,40,57000,0
15753874,Male,37,80000,0
15617877,Male,46,82000,0
15772073,Male,53,143000,1
15701537,Female,42,149000,1
15736228,Female,38,59000,0
15780572,Male,50,88000,1
15769596,Male,56,104000,1
15586996,Male,41,72000,0
15722061,Male,51,146000,1
15638003,Male,35,50000,0
15775590,Male,57,122000,1
15730688,Female,41,52000,0
15753102,Male,35,97000,1
15810075,Male,44,39000,0
15723373,Female,37,52000,0
15795298,Male,48,134000,1
15584320,Male,37,146000,1
15724161,Male,50,44000,0
15750056,Male,52,90000,1
15609637,Male,41,72000,0
15794493,Female,40,57000,0
15569641,Male,58,95000,1
15815236,Male,45,131000,1
15811177,Male,35,77000,0
15680587,Female,36,144000,1
15672821,Male,55,125000,1
15767681,Male,35,72000,0
15600379,Female,48,90000,1
15801336,Male,42,108000,1
15721592,Female,40,75000,0
15581282,Female,37,74000,0
15746203,Male,47,144000,1
15583137,Female,40,61000,0
15680752,Male,43,133000,0
15688172,Male,59,76000,1
15791373,Female,60,42000,1
15589449,Female,39,106000,1
15692819,Male,57,26000,1
15727467,Female,57,74000,1
15734312,Female,38,71000,0
15764604,Female,49,88000,1
15613014,Male,52,38000,1
15759684,Male,50,36000,1
15609669,Male,59,88000,1
15685536,Female,35,61000,0
15750447,Female,37,70000,1
15663249,Male,52,21000,1
15638646,Female,48,141000,0
15734161,Male,37,93000,1
15631070,Male,37,62000,0
15761950,Male,48,138000,1
15649668,Female,41,79000,0
15713912,Male,37,78000,1
15586757,Female,39,134000,1
15596522,Female,49,89000,1
15625395,Female,55,39000,1
15760570,Female,37,77000,0
15566689,Male,35,57000,0
15725794,Male,36,63000,0
15673539,Female,42,73000,1
15705298,Male,43,112000,1
15675791,Female,45,79000,0
15747043,Female,46,117000,1
15736397,Male,58,38000,1
15678201,Female,48,74000,1
15720745,Male,37,137000,1
15637593,Female,37,79000,1
15598070,Male,40,60000,0
15787550,Female,42,54000,0
15603942,Male,51,134000,0
15733973,Male,47,113000,1
15596761,Female,36,125000,1
15652400,Male,38,50000,0
15717893,Male,42,70000,0
15622585,Female,39,96000,1
15733964,Male,38,50000,0
15753861,Male,49,141000,1
15747097,Male,39,79000,0
15594762,Male,39,75000,1
15667417,Male,54,104000,1
15684861,Female,35,55000,0
15742204,Female,45,32000,1
15623502,Female,36,60000,0
15774872,Male,52,138000,1
15611191,Male,53,82000,1
15674331,Female,41,52000,0
15619465,Male,48,30000,1
15575247,Male,48,131000,1
15695679,Male,41,60000,0
15713463,Female,41,72000,0
15785170,Male,42,75000,0
15796351,Female,36,118000,1
15639576,Male,47,107000,1
15693264,Female,38,51000,0
15589715,Male,48,119000,1
15769902,Female,42,65000,0
15587177,Female,40,65000,0
15814553,Female,57,60000,1
15601550,Male,36,54000,0
15664907,Female,58,144000,1
15612465,Female,35,79000,0
15810800,Male,38,55000,0
15665760,Female,39,122000,1
15588080,Male,53,104000,1
15776844,Female,35,75000,0
15717560,Male,38,65000,0
15629739,Male,47,51000,1
15729908,Female,47,105000,1
15716781,Male,41,63000,0
15646936,Female,53,72000,1
15768151,Male,54,108000,1
15579212,Female,39,77000,0
15721835,Female,38,61000,0
15800515,Male,38,113000,1
15591279,Female,37,75000,0
15587419,Male,42,90000,1
15750335,Male,37,57000,0
15699619,Female,36,99000,1
15606472,Female,60,34000,1
15778368,Female,54,70000,1
15671387,Male,41,72000,0
15573926,Female,40,71000,1
15709183,Female,42,54000,0
15577514,Female,43,129000,1
15778830,Male,53,34000,1
15768072,Male,47,50000,1
15768293,Male,42,79000,0
15654456,Female,42,104000,1
15807525,Male,59,29000,1
15574372,Male,58,47000,1
15671249,Female,46,88000,1
15779744,Female,38,71000,0
15624755,Male,54,26000,1
15611430,Male,60,46000,1
15774744,Female,60,83000,1
15629885,Male,39,73000,0
15708791,Female,59,130000,1
15793890,Male,37,80000,0
15646091,Male,46,32000,1
15596984,Male,46,74000,0
15800215,Male,42,53000,0
15577806,Female,41,87000,1
15749381,Male,58,23000,1
15683758,Female,42,64000,0
15670615,Female,48,33000,1
15715622,Male,44,139000,1
15707634,Female,49,28000,1
15806901,Male,57,33000,1
15775335,Female,56,60000,1
15724150,Male,49,39000,1
15627220,Female,39,71000,0
15672330,Female,47,34000,1
15668521,Male,48,35000,1
15807837,Female,48,33000,1
15592570,Female,47,23000,1
15748589,Male,45,45000,1
15635893,Female,60,42000,1
15757632,Male,39,59000,0
15691863,Male,46,41000,1
15706071,Female,51,23000,1
15654296,Male,50,20000,1
15755018,Female,36,33000,0
15594041,Male,49,36000,1